aggregate_profile,candidate_variant_id,contract_selection_method,data_foundation_coverage,dominant_failure_reason,entry_bar_coverage,exit_bar_coverage,family,intended_regime,max_entry_lag_minutes,max_exit_lag_minutes,net_pnl,option_trade_count,recommended_redesign_action,source_strategy_id,strategy_fill_coverage,symbol,test_net_pnl,timing_profile
ticker365fillrepair_qqq_qqq_e240_x390_entry_liquidity_first_research_only,portfolio12h__qqq__choppy__call__broken_wing_call_butterfly__c4491f3d124277,entry_liquidity_first_research_only,1.0,entry_bar_gap_or_entry_timing_mismatch,0.7302,0.7367,broken_wing_call_butterfly,choppy,,,-9907.563,333,entry_timing_redesign,qqq__choppy__call__broken_wing_call_butterfly,0.538,QQQ,6299.41,base
ticker365fillrepair_qqq_qqq_e240_x390_entry_liquidity_first_research_only,portfolio12h__qqq__choppy__call__broken_wing_call_butterfly__1a5eaa3d58a0f8,entry_liquidity_first_research_only,1.0,entry_bar_gap_or_entry_timing_mismatch,0.7302,0.7367,broken_wing_call_butterfly,choppy,,,-9907.563,333,entry_timing_redesign,qqq__choppy__call__broken_wing_call_butterfly,0.538,QQQ,6299.41,fast
ticker365fillrepair_qqq_qqq_e240_x390_entry_liquidity_first_research_only,portfolio12h__qqq__choppy__call__broken_wing_call_butterfly__9ae7ebd86a8b60,entry_liquidity_first_research_only,1.0,entry_bar_gap_or_entry_timing_mismatch,0.7302,0.7367,broken_wing_call_butterfly,choppy,,,-9907.563,333,entry_timing_redesign,qqq__choppy__call__broken_wing_call_butterfly,0.538,QQQ,6299.41,patient
ticker365fillrepair_qqq_qqq_e240_x390_entry_liquidity_first_research_only,portfolio12h__qqq__choppy__call__broken_wing_call_butterfly__b70be44cf10a26,entry_liquidity_first_research_only,1.0,entry_bar_gap_or_entry_timing_mismatch,0.7302,0.7367,broken_wing_call_butterfly,choppy,,,-9907.563,333,entry_timing_redesign,qqq__choppy__call__broken_wing_call_butterfly,0.538,QQQ,6299.41,slow
ticker365fillrepair_qqq_qqq_e240_x390_entry_liquidity_first_research_only,portfolio12h__qqq__bull__call__debit_call_vertical__6c0de1f7b7a663,entry_liquidity_first_research_only,1.0,entry_bar_gap_or_entry_timing_mismatch,0.7302,0.7367,debit_call_vertical,bull,,,-9907.563,333,entry_timing_redesign,qqq__bull__call__debit_call_vertical,0.538,QQQ,6299.41,base
ticker365fillrepair_qqq_qqq_e240_x390_entry_liquidity_first_research_only,portfolio12h__qqq__bull__call__debit_call_vertical__8a1bd4a4ecbb5a,entry_liquidity_first_research_only,1.0,entry_bar_gap_or_entry_timing_mismatch,0.7302,0.7367,debit_call_vertical,bull,,,-9907.563,333,entry_timing_redesign,qqq__bull__call__debit_call_vertical,0.538,QQQ,6299.41,fast
ticker365fillrepair_qqq_qqq_e240_x390_entry_liquidity_first_research_only,portfolio12h__qqq__bull__call__debit_call_vertical__73980d5e6e1a7b,entry_liquidity_first_research_only,1.0,entry_bar_gap_or_entry_timing_mismatch,0.7302,0.7367,debit_call_vertical,bull,,,-9907.563,333,entry_timing_redesign,qqq__bull__call__debit_call_vertical,0.538,QQQ,6299.41,patient
ticker365fillrepair_qqq_qqq_e240_x390_entry_liquidity_first_research_only,portfolio12h__qqq__bull__call__debit_call_vertical__158975566af624,entry_liquidity_first_research_only,1.0,entry_bar_gap_or_entry_timing_mismatch,0.7302,0.7367,debit_call_vertical,bull,,,-9907.563,333,entry_timing_redesign,qqq__bull__call__debit_call_vertical,0.538,QQQ,6299.41,slow
ticker365fillrepair_qqq_qqq_e240_x390_entry_liquidity_first_research_only,portfolio12h__qqq__choppy__call__iron_butterfly__924d6fef41860a,entry_liquidity_first_research_only,1.0,entry_bar_gap_or_entry_timing_mismatch,0.7302,0.7367,iron_butterfly,choppy,,,-9907.563,333,entry_timing_redesign,qqq__choppy__call__iron_butterfly,0.538,QQQ,6299.41,base
ticker365fillrepair_qqq_qqq_e240_x390_entry_liquidity_first_research_only,portfolio12h__qqq__choppy__call__iron_butterfly__afca5ecb4183bc,entry_liquidity_first_research_only,1.0,entry_bar_gap_or_entry_timing_mismatch,0.7302,0.7367,iron_butterfly,choppy,,,-9907.563,333,entry_timing_redesign,qqq__choppy__call__iron_butterfly,0.538,QQQ,6299.41,fast
